model, price, weight, device name, brand, touch screen, announced date, CPU
Samsung InstincQ m900,don't know,don't know,Samsung InstincQ m900,don't know,don't know,don't know,don't know
Samsung i7500,don't know,don't know,Samsung i7500,don't know,don't know,don't know,don't know
Samsung Intercept,don't know,139 g (4.90 oz),Samsung Intercept,Samsung,don't know,2010  July,don't know
Samsung Moment,don't know,don't know,Samsung Moment,don't know,don't know,don't know,don't know
Samsung M100S,don't know,don't know,Samsung M100S,don't know,don't know,don't know,don't know
Samsung Saturn,don't know,don't know,Samsung Saturn,don't know,don't know,don't know,don't know
Samsung Vibrant,(About 120 EUR),117 9 (4.13 oz),Samsung Vibrant,Samsung,Yes,2011  January,1.0 GHz Cortex-A8
Samsung Spica,don't know,don't know,Samsung Spica,don't know,don't know,don't know,don't know
Sanyo ZIO by Kyocera,don't know,don't know,Sanyo ZIO by Kyocera,don't know,don't know,don't know,don't know
Saygus VPhone V1,don't know,don't know,Saygus VPhone V1,don't know,don't know,don't know,don't know
SciPhone N12,don't know,don't know,SciPhone N12,don't know,don't know,don't know,don't know
SciPhone N16,don't know,don't know,SciPhone N16,don't know,don't know,don't know,don't know
SciPhone N17,don't know,don't know,SciPhone N17,don't know,don't know,don't know,don't know
SciPhone N19,don't know,don't know,SciPhone N19,don't know,don't know,don't know,don't know
SciPhone N21,don't know,don't know,SciPhone N21,don't know,don't know,don't know,don't know
Sharp LYNX SH-10B,don't know,don't know,Sharp LYNX SH-10B,don't know,don't know,don't know,don't know
Sharp IS01,don't know,don't know,Sharp IS01,don't know,don't know,don't know,don't know
Sharp Tapas,don't know,don't know,Sharp Tapas,don't know,don't know,don't know,don't know
Sony Ericsson Infinity,(About 210 EUR),don't know,Sony Ericsson Infinity,don't know,don't know,2011  August. Released 2011  September,don't know
Sony Ericsson PSP ?,(About 210 EUR),don't know,Sony Ericsson PSP ?,don't know,don't know,2011  August. Released 2011  September,don't know
Sony Ericsson Robyn,(About 210 EUR),don't know,Sony Ericsson Robyn,don't know,don't know,2011  August. Released 2011  September,don't know
Sony Ericsson Sunny,(About 210 EUR),don't know,Sony Ericsson Sunny,don't know,don't know,2011  August. Released 2011  September,don't know
Sony Ericsson Susan,(About 210 EUR),don't know,Sony Ericsson Susan,don't know,don't know,2011  August. Released 2011  September,don't know
Sony Ericsson Xperia X10,(About 210 EUR),135 g (4.76 oz),Sony Ericsson Xperia X10,Sony,don't know,2011  August. Released 2011  September,1.0 GHz Scorpion
Sony Ericsson Xperia X8,(About 210 EUR),104 g (3.67 oz),Sony Ericsson Xperia X8,Sony,don't know,2011  August. Released 2011  September,600 MHz ARM 11
T-Mobile G1 Blaze,don't know,don't know,T-Mobile G1 Blaze,don't know,don't know,don't know,don't know
T-Mobile G2,don't know,184.3 g (6.49 oz),T-Mobile G2,T-Mobile,Yes,2010  September,800 MHz Scorpion
T-Mobile G2 Touch,don't know,135 g (4.76 oz),T-Mobile G2 Touch,T-Mobile,Yes,2009  July. Released 2009  July,528 MHz ARM 11
T-Mobile myTouch 2,(About 280 EUR),140 g (4.94 oz),T-Mobile myTouch 2,T-Mobile,Yes,2010  October. Released 2010  November,1.4 GHz Scorpion
T-Mobile myTouch 3G,(About 280 EUR),116 g (4.09 oz),T-Mobile myTouch 3G,T-Mobile,don't know,2010  October. Released 2010  November,528 MHz ARM 11
T-Mobile myTouch 3G Slide,(About 280 EUR),167 (5.89 oz),T-Mobile myTouch 3G Slide,T-Mobile,don't know,2010  October. Released 2010  November,600 MHz ARM 11
T-Mobile myTouch HD,don't know,don't know,T-Mobile myTouch HD,don't know,don't know,2010  February. Released 2010  May,don't know
T-Mobile Pulse,don't know,130 g (4.59 oz),T-Mobile Pulse,T-Mobile,Yes,2010  February. Released 2010  May,don't know
T-Mobile Sidekick,(About 310 EUR),128 g (4.52 oz),T-Mobile Sidekick,T-Mobile,don't know,2011  March,don't know
Tianyu Tapas,don't know,don't know,Tianyu Tapas,don't know,don't know,don't know,don't know
Tiger G3,don't know,don't know,Tiger G3,don't know,don't know,don't know,don't know
TWM T1,don't know,don't know,TWM T1,don't know,don't know,don't know,don't know
Ulysse Nardin Chairman,don't know,don't know,Ulysse Nardin Chairman,don't know,don't know,don't know,don't know
Vodaphone 845,don't know,don't know,Vodaphone 845,don't know,don't know,don't know,don't know
Vibo A688,don't know,don't know,Vibo A688,don't know,don't know,don't know,don't know
Yuhua Tel X2,don't know,don't know,Yuhua Tel X2,don't know,don't know,don't know,don't know
ZTE Racer,(About 180 EUR),100 g (3.53 oz),ZTE Racer,ZTE,don't know,2010  July. Released 2010  July,600 MHz ARM 11
ZTE Black,don't know,don't know,ZTE Black,don't know,don't know,don't know,don't know
ZTE Smooth,don't know,don't know,ZTE Smooth,don't know,don't know,don't know,don't know
Samsung Galaxy S,(About 850 EUR),don't know,Samsung Galaxy S,don't know,don't know,2016  August,don't know
